Region,Source,Year,Data,Unit
BC,Natural Gas,2005,1320,MW
BC,Oil and Diesel,2005,82.46,MW
BC,Hydro,2006,12614,MW
BC,Wind,2006,0,MW
BC,Biomass,2006,811,MW
BC,Solar,2006,0,MW
BC,Nuclear,2006,0,MW
BC,Coal,2006,0,MW
BC,Natural Gas,2006,1425,MW
BC,Oil and Diesel,2006,82.46,MW
BC,Hydro,2007,12661,MW
BC,Wind,2007,0,MW
BC,Biomass,2007,811,MW
BC,Solar,2007,0,MW
BC,Nuclear,2007,0,MW
BC,Coal,2007,0,MW
BC,Natural Gas,2007,1425,MW
BC,Oil and Diesel,2007,82.46,MW
BC,Hydro,2008,12733,MW
BC,Wind,2008,0,MW
BC,Biomass,2008,811,MW
BC,Solar,2008,0,MW
BC,Nuclear,2008,0,MW
BC,Coal,2008,0,MW
BC,Natural Gas,2008,1425,MW
BC,Oil and Diesel,2008,82.46,MW
BC,Hydro,2009,12858,MW
BC,Wind,2009,102,MW
BC,Biomass,2009,811,MW
BC,Solar,2009,0,MW
BC,Nuclear,2009,0,MW
BC,Coal,2009,0,MW
BC,Natural Gas,2009,1425,MW
BC,Oil and Diesel,2009,82.46,MW
BC,Hydro,2010,13202,MW
BC,Wind,2010,102,MW
BC,Biomass,2010,859,MW
BC,Solar,2010,0,MW
BC,Nuclear,2010,0,MW
BC,Coal,2010,0,MW
BC,Natural Gas,2010,1425,MW
BC,Oil and Diesel,2010,82.46,MW
BC,Hydro,2011,13673,MW
BC,Wind,2011,246,MW
BC,Biomass,2011,860,MW
BC,Solar,2011,0,MW
BC,Nuclear,2011,0,MW
BC,Coal,2011,0,MW
BC,Natural Gas,2011,1425,MW
BC,Oil and Diesel,2011,82.46,MW
BC,Hydro,2012,13673,MW
BC,Wind,2012,246,MW
BC,Biomass,2012,860,MW
BC,Solar,2012,0,MW
BC,Nuclear,2012,0,MW
BC,Coal,2012,0,MW
BC,Natural Gas,2012,1425,MW
BC,Oil and Diesel,2012,82.46,MW
BC,Hydro,2013,13687,MW
BC,Wind,2013,388,MW
BC,Biomass,2013,886,MW
BC,Solar,2013,2.281,MW
BC,Nuclear,2013,0,MW
BC,Coal,2013,0,MW
BC,Natural Gas,2013,1474,MW
BC,Oil and Diesel,2013,82.46,MW
BC,Hydro,2014,14207,MW
BC,Wind,2014,488,MW
BC,Biomass,2014,886,MW
BC,Solar,2014,2.281,MW
BC,Nuclear,2014,0,MW
BC,Coal,2014,0,MW
BC,Natural Gas,2014,1474,MW
BC,Oil and Diesel,2014,82.46,MW
BC,Hydro,2015,15029,MW
BC,Wind,2015,488,MW
BC,Biomass,2015,886,MW
BC,Solar,2015,3.281,MW
BC,Nuclear,2015,0,MW
BC,Coal,2015,0,MW
BC,Natural Gas,2015,1474,MW
BC,Oil and Diesel,2015,82.46,MW
BC,Hydro,2016,15708.87,MW
BC,Wind,2016,488.25,MW
BC,Biomass,2016,906.77,MW
BC,Solar,2016,3.281,MW
BC,Nuclear,2016,0,MW
BC,Coal,2016,0,MW
BC,Natural Gas,2016,530.33,MW
BC,Oil and Diesel,2016,82.46,MW
AB,Hydro,2005,869,MW
AB,Wind,2005,251,MW
AB,Biomass,2005,271,MW
AB,Solar,2005,0,MW
AB,Nuclear,2005,0,MW
AB,Coal,2005,5840,MW
AB,Natural Gas,2005,4770,MW
AB,Oil and Diesel,2005,7.15,MW
AB,Hydro,2006,874,MW
AB,Wind,2006,386,MW
AB,Biomass,2006,313.1,MW
AB,Solar,2006,0,MW
AB,Nuclear,2006,0,MW
AB,Coal,2006,5864,MW
AB,Natural Gas,2006,4325,MW
AB,Oil and Diesel,2006,7.15,MW
AB,Hydro,2007,874,MW
AB,Wind,2007,525,MW
AB,Biomass,2007,313.1,MW
AB,Solar,2007,0,MW
AB,Nuclear,2007,0,MW
AB,Coal,2007,5918,MW
AB,Natural Gas,2007,4425,MW
AB,Oil and Diesel,2007,7.15,MW
AB,Hydro,2008,874,MW
AB,Wind,2008,525,MW
AB,Biomass,2008,313.1,MW
AB,Solar,2008,0,MW
AB,Nuclear,2008,0,MW
AB,Coal,2008,5918,MW
AB,Natural Gas,2008,4823,MW
AB,Oil and Diesel,2008,7.15,MW
AB,Hydro,2009,874,MW
AB,Wind,2009,591,MW
AB,Biomass,2009,323.2,MW
AB,Solar,2009,0,MW
AB,Nuclear,2009,0,MW
AB,Coal,2009,5971,MW
AB,Natural Gas,2009,5139,MW
AB,Oil and Diesel,2009,7.15,MW
AB,Hydro,2010,874,MW
AB,Wind,2010,723,MW
AB,Biomass,2010,340.2,MW
AB,Solar,2010,0,MW
AB,Nuclear,2010,0,MW
AB,Coal,2010,5735,MW
AB,Natural Gas,2010,5218,MW
AB,Oil and Diesel,2010,7.15,MW
AB,Hydro,2011,879,MW
AB,Wind,2011,865,MW
AB,Biomass,2011,358.697,MW
AB,Solar,2011,0,MW
AB,Nuclear,2011,0,MW
AB,Coal,2011,5632,MW
AB,Natural Gas,2011,5251,MW
AB,Oil and Diesel,2011,7.15,MW
AB,Hydro,2012,894,MW
AB,Wind,2012,1088,MW
AB,Biomass,2012,413.797,MW
AB,Solar,2012,2.181,MW
AB,Nuclear,2012,0,MW
AB,Coal,2012,5690,MW
AB,Natural Gas,2012,5683,MW
AB,Oil and Diesel,2012,7.15,MW
AB,Hydro,2013,894,MW
AB,Wind,2013,1088,MW
AB,Biomass,2013,416.646,MW
AB,Solar,2013,4.466,MW
AB,Nuclear,2013,0,MW
AB,Coal,2013,6258,MW
AB,Natural Gas,2013,5811,MW
AB,Oil and Diesel,2013,7.15,MW
AB,Hydro,2014,894,MW
AB,Wind,2014,1434,MW
AB,Biomass,2014,438.3,MW
AB,Solar,2014,4.466,MW
AB,Nuclear,2014,0,MW
AB,Coal,2014,6258,MW
AB,Natural Gas,2014,6161,MW
AB,Oil and Diesel,2014,7.15,MW
AB,Hydro,2015,894,MW
AB,Wind,2015,1463,MW
AB,Biomass,2015,428,MW
AB,Solar,2015,4.466,MW
AB,Nuclear,2015,0,MW
AB,Coal,2015,6286.8,MW
AB,Natural Gas,2015,7214,MW
AB,Oil and Diesel,2015,7.15,MW
AB,Hydro,2016,894.35,MW
AB,Wind,2016,1466.76,MW
AB,Biomass,2016,428,MW
AB,Solar,2016,4.466,MW
AB,Nuclear,2016,0,MW
AB,Coal,2016,6286.8,MW
AB,Natural Gas,2016,7519.15,MW
AB,Oil and Diesel,2016,7.15,MW
SK,Hydro,2005,863.81,MW
SK,Wind,2005,15.86,MW
SK,Biomass,2005,0,MW
SK,Solar,2005,0,MW
SK,Nuclear,2005,0,MW
SK,Coal,2005,1799,MW
SK,Natural Gas,2005,1053.45,MW
SK,Oil and Diesel,2005,1.17,MW
SK,Hydro,2006,863.81,MW
SK,Wind,2006,171.18,MW
SK,Biomass,2006,0,MW
SK,Solar,2006,0,MW
SK,Nuclear,2006,0,MW
SK,Coal,2006,1799,MW
SK,Natural Gas,2006,1053.45,MW
SK,Oil and Diesel,2006,1.17,MW
SK,Hydro,2007,863.81,MW
SK,Wind,2007,171.18,MW
SK,Biomass,2007,0,MW
SK,Solar,2007,0,MW
SK,Nuclear,2007,0,MW
SK,Coal,2007,1822,MW
SK,Natural Gas,2007,1053.45,MW
SK,Oil and Diesel,2007,1.17,MW
SK,Hydro,2008,863.81,MW
SK,Wind,2008,171.18,MW
SK,Biomass,2008,0,MW
SK,Solar,2008,0,MW
SK,Nuclear,2008,0,MW
SK,Coal,2008,1822,MW
SK,Natural Gas,2008,1053.45,MW
SK,Oil and Diesel,2008,1.17,MW
SK,Hydro,2009,863.81,MW
SK,Wind,2009,171.18,MW
SK,Biomass,2009,0,MW
SK,Solar,2009,0,MW
SK,Nuclear,2009,0,MW
SK,Coal,2009,1826,MW
SK,Natural Gas,2009,1146.45,MW
SK,Oil and Diesel,2009,1.17,MW
SK,Hydro,2010,863.81,MW
SK,Wind,2010,171.18,MW
SK,Biomass,2010,0,MW
SK,Solar,2010,0,MW
SK,Nuclear,2010,0,MW
SK,Coal,2010,1826,MW
SK,Natural Gas,2010,1393.95,MW
SK,Oil and Diesel,2010,1.17,MW
SK,Hydro,2011,863.81,MW
SK,Wind,2011,196.68,MW
SK,Biomass,2011,0,MW
SK,Solar,2011,0,MW
SK,Nuclear,2011,0,MW
SK,Coal,2011,1826,MW
SK,Natural Gas,2011,1393.95,MW
SK,Oil and Diesel,2011,1.17,MW
SK,Hydro,2012,863.81,MW
SK,Wind,2012,196.68,MW
SK,Biomass,2012,0,MW
SK,Solar,2012,0,MW
SK,Nuclear,2012,0,MW
SK,Coal,2012,1702,MW
SK,Natural Gas,2012,1393.95,MW
SK,Oil and Diesel,2012,1.17,MW
SK,Hydro,2013,863.81,MW
SK,Wind,2013,196.68,MW
SK,Biomass,2013,0,MW
SK,Solar,2013,0,MW
SK,Nuclear,2013,0,MW
SK,Coal,2013,1636,MW
SK,Natural Gas,2013,1328,MW
SK,Oil and Diesel,2013,1.17,MW
SK,Hydro,2014,863.81,MW
SK,Wind,2014,196.68,MW
SK,Biomass,2014,2,MW
SK,Solar,2014,4,MW
SK,Nuclear,2014,0,MW
SK,Coal,2014,1535,MW
SK,Natural Gas,2014,1480,MW
SK,Oil and Diesel,2014,16.955,MW
SK,Hydro,2015,889.06,MW
SK,Wind,2015,221.18,MW
SK,Biomass,2015,2,MW
SK,Solar,2015,4,MW
SK,Nuclear,2015,0,MW
SK,Coal,2015,1535,MW
SK,Natural Gas,2015,1709.96,MW
SK,Oil and Diesel,2015,16.955,MW
SK,Hydro,2016,889.06,MW
SK,Wind,2016,221.18,MW
SK,Biomass,2016,36,MW
SK,Solar,2016,4,MW
SK,Nuclear,2016,0,MW
SK,Coal,2016,1535,MW
SK,Natural Gas,2016,1859.96,MW
SK,Oil and Diesel,2016,16.955,MW
MB,Hydro,2005,5053.63,MW
MB,Wind,2005,20,MW
MB,Biomass,2005,22,MW
MB,Solar,2005,0,MW
MB,Nuclear,2005,0,MW
MB,Coal,2005,97.64,MW
MB,Natural Gas,2005,368,MW
MB,Oil and Diesel,2005,32.38,MW
MB,Hydro,2006,5053.63,MW
MB,Wind,2006,103.95,MW
MB,Biomass,2006,22,MW
MB,Solar,2006,0,MW
MB,Nuclear,2006,0,MW
MB,Coal,2006,97.64,MW
MB,Natural Gas,2006,368,MW
MB,Oil and Diesel,2006,32,MW
MB,Hydro,2007,5053.63,MW
MB,Wind,2007,103.95,MW
MB,Biomass,2007,22,MW
MB,Solar,2007,0,MW
MB,Nuclear,2007,0,MW
MB,Coal,2007,97.64,MW
MB,Natural Gas,2007,368,MW
MB,Oil and Diesel,2007,32,MW
MB,Hydro,2008,5053.63,MW
MB,Wind,2008,103.95,MW
MB,Biomass,2008,22,MW
MB,Solar,2008,0,MW
MB,Nuclear,2008,0,MW
MB,Coal,2008,97.64,MW
MB,Natural Gas,2008,368,MW
MB,Oil and Diesel,2008,32,MW
MB,Hydro,2009,5053.63,MW
MB,Wind,2009,103.95,MW
MB,Biomass,2009,22,MW
MB,Solar,2009,0,MW
MB,Nuclear,2009,0,MW
MB,Coal,2009,97.64,MW
MB,Natural Gas,2009,368,MW
MB,Oil and Diesel,2009,32,MW
MB,Hydro,2010,5053.63,MW
MB,Wind,2010,103.95,MW
MB,Biomass,2010,22,MW
MB,Solar,2010,0,MW
MB,Nuclear,2010,0,MW
MB,Coal,2010,97.64,MW
MB,Natural Gas,2010,368,MW
MB,Oil and Diesel,2010,32,MW
MB,Hydro,2011,5053.63,MW
MB,Wind,2011,241.95,MW
MB,Biomass,2011,22,MW
MB,Solar,2011,0,MW
MB,Nuclear,2011,0,MW
MB,Coal,2011,97.64,MW
MB,Natural Gas,2011,368,MW
MB,Oil and Diesel,2011,32,MW
MB,Hydro,2012,5053.63,MW
MB,Wind,2012,258.45,MW
MB,Biomass,2012,22,MW
MB,Solar,2012,0,MW
MB,Nuclear,2012,0,MW
MB,Coal,2012,97.64,MW
MB,Natural Gas,2012,368,MW
MB,Oil and Diesel,2012,32,MW
MB,Hydro,2013,5254.63,MW
MB,Wind,2013,258.45,MW
MB,Biomass,2013,22,MW
MB,Solar,2013,1,MW
MB,Nuclear,2013,0,MW
MB,Coal,2013,97.64,MW
MB,Natural Gas,2013,368,MW
MB,Oil and Diesel,2013,32,MW
MB,Hydro,2014,5313.05,MW
MB,Wind,2014,258.45,MW
MB,Biomass,2014,22,MW
MB,Solar,2014,2,MW
MB,Nuclear,2014,0,MW
MB,Coal,2014,97.64,MW
MB,Natural Gas,2014,402.61,MW
MB,Oil and Diesel,2014,10,MW
MB,Hydro,2015,5349.159,MW
MB,Wind,2015,258.45,MW
MB,Biomass,2015,22,MW
MB,Solar,2015,3,MW
MB,Nuclear,2015,0,MW
MB,Coal,2015,97.64,MW
MB,Natural Gas,2015,402.61,MW
MB,Oil and Diesel,2015,10,MW
MB,Hydro,2016,5349.159,MW
MB,Wind,2016,258.45,MW
MB,Biomass,2016,22,MW
MB,Solar,2016,4,MW
MB,Nuclear,2016,0,MW
MB,Coal,2016,97.64,MW
MB,Natural Gas,2016,402.61,MW
MB,Oil and Diesel,2016,4.93,MW
ON,Hydro,2005,8505,MW
ON,Wind,2005,15,MW
ON,Biomass,2005,209,MW
ON,Solar,2005,16.75,MW
ON,Nuclear,2005,11450,MW
ON,Coal,2005,6437,MW
ON,Natural Gas,2005,4789.11,MW
ON,Oil and Diesel,2005,115.81,MW
ON,Hydro,2006,8410,MW
ON,Wind,2006,414,MW
ON,Biomass,2006,176,MW
ON,Solar,2006,20.48,MW
ON,Nuclear,2006,11990,MW
ON,Coal,2006,6329,MW
ON,Natural Gas,2006,4878.79,MW
ON,Oil and Diesel,2006,115.81,MW
ON,Hydro,2007,8410,MW
ON,Wind,2007,491,MW
ON,Biomass,2007,176,MW
ON,Solar,2007,25.77,MW
ON,Nuclear,2007,11990,MW
ON,Coal,2007,6339,MW
ON,Natural Gas,2007,4876.96,MW
ON,Oil and Diesel,2007,115.81,MW
ON,Hydro,2008,8416,MW
ON,Wind,2008,782,MW
ON,Biomass,2008,148,MW
ON,Solar,2008,32.72,MW
ON,Nuclear,2008,11990,MW
ON,Coal,2008,6077,MW
ON,Natural Gas,2008,6316.46,MW
ON,Oil and Diesel,2008,115.81,MW
ON,Hydro,2009,8424,MW
ON,Wind,2009,1168,MW
ON,Biomass,2009,207,MW
ON,Solar,2009,94.57,MW
ON,Nuclear,2009,11990,MW
ON,Coal,2009,6077,MW
ON,Natural Gas,2009,5976.69,MW
ON,Oil and Diesel,2009,115.81,MW
ON,Hydro,2010,8463,MW
ON,Wind,2010,1447,MW
ON,Biomass,2010,207,MW
ON,Solar,2010,281.13,MW
ON,Nuclear,2010,11990,MW
ON,Coal,2010,4487,MW
ON,Natural Gas,2010,8957.61,MW
ON,Oil and Diesel,2010,249.32,MW
ON,Hydro,2011,8524,MW
ON,Wind,2011,1970,MW
ON,Biomass,2011,207,MW
ON,Solar,2011,419.4,MW
ON,Nuclear,2011,11990,MW
ON,Coal,2011,4275,MW
ON,Natural Gas,2011,8969.745,MW
ON,Oil and Diesel,2011,249.32,MW
ON,Hydro,2012,8524,MW
ON,Wind,2012,2053,MW
ON,Biomass,2012,207,MW
ON,Solar,2012,645.3,MW
ON,Nuclear,2012,11990,MW
ON,Coal,2012,3296,MW
ON,Natural Gas,2012,9362.745,MW
ON,Oil and Diesel,2012,249.32,MW
ON,Hydro,2013,8565,MW
ON,Wind,2013,2491,MW
ON,Biomass,2013,207,MW
ON,Solar,2013,1018.7,MW
ON,Nuclear,2013,13640,MW
ON,Coal,2013,2291,MW
ON,Natural Gas,2013,9400.745,MW
ON,Oil and Diesel,2013,249.32,MW
ON,Hydro,2014,8972,MW
ON,Wind,2014,3490,MW
ON,Biomass,2014,592,MW
ON,Solar,2014,1509.4,MW
ON,Nuclear,2014,13568,MW
ON,Coal,2014,153,MW
ON,Natural Gas,2014,9036.06,MW
ON,Oil and Diesel,2014,250.45,MW
ON,Hydro,2015,8768,MW
ON,Wind,2015,4374,MW
ON,Biomass,2015,574,MW
ON,Solar,2015,2119,MW
ON,Nuclear,2015,13568,MW
ON,Coal,2015,0,MW
ON,Natural Gas,2015,9648.06,MW
ON,Oil and Diesel,2015,250.45,MW
ON,Hydro,2016,8871.88,MW
ON,Wind,2016,4841.45,MW
ON,Biomass,2016,762.12,MW
ON,Solar,2016,2291.46,MW
ON,Nuclear,2016,13568,MW
ON,Coal,2016,0,MW
ON,Natural Gas,2016,9629.63,MW
ON,Oil and Diesel,2016,250.45,MW
QC,Hydro,2005,36473,MW
QC,Wind,2005,207,MW
QC,Biomass,2005,278,MW
QC,Solar,2005,0,MW
QC,Nuclear,2005,675,MW
QC,Coal,2005,0,MW
QC,Natural Gas,2005,31.05,MW
QC,Oil and Diesel,2005,1594.63,MW
QC,Hydro,2006,36686,MW
QC,Wind,2006,317,MW
QC,Biomass,2006,278,MW
QC,Solar,2006,0,MW
QC,Nuclear,2006,675,MW
QC,Coal,2006,0,MW
QC,Natural Gas,2006,591.05,MW
QC,Oil and Diesel,2006,1544.04,MW
QC,Hydro,2007,37440,MW
QC,Wind,2007,417,MW
QC,Biomass,2007,278,MW
QC,Solar,2007,0,MW
QC,Nuclear,2007,675,MW
QC,Coal,2007,0,MW
QC,Natural Gas,2007,591.05,MW
QC,Oil and Diesel,2007,1665.04,MW
QC,Hydro,2008,38265,MW
QC,Wind,2008,527,MW
QC,Biomass,2008,230,MW
QC,Solar,2008,0,MW
QC,Nuclear,2008,675,MW
QC,Coal,2008,0,MW
QC,Natural Gas,2008,591.05,MW
QC,Oil and Diesel,2008,1633.04,MW
QC,Hydro,2009,38414,MW
QC,Wind,2009,660,MW
QC,Biomass,2009,230,MW
QC,Solar,2009,0,MW
QC,Nuclear,2009,675,MW
QC,Coal,2009,0,MW
QC,Natural Gas,2009,591.05,MW
QC,Oil and Diesel,2009,1582.24,MW
QC,Hydro,2010,38426,MW
QC,Wind,2010,664,MW
QC,Biomass,2010,230,MW
QC,Solar,2010,0,MW
QC,Nuclear,2010,675,MW
QC,Coal,2010,0,MW
QC,Natural Gas,2010,591.05,MW
QC,Oil and Diesel,2010,1502.04,MW
QC,Hydro,2011,38184,MW
QC,Wind,2011,923,MW
QC,Biomass,2011,240,MW
QC,Solar,2011,0,MW
QC,Nuclear,2011,675,MW
QC,Coal,2011,0,MW
QC,Natural Gas,2011,591.05,MW
QC,Oil and Diesel,2011,1007.04,MW
QC,Hydro,2012,39217,MW
QC,Wind,2012,1354,MW
QC,Biomass,2012,240,MW
QC,Solar,2012,0,MW
QC,Nuclear,2012,675,MW
QC,Coal,2012,0,MW
QC,Natural Gas,2012,591.05,MW
QC,Oil and Diesel,2012,1007.04,MW
QC,Hydro,2013,38433,MW
QC,Wind,2013,2404,MW
QC,Biomass,2013,240,MW
QC,Solar,2013,0.297,MW
QC,Nuclear,2013,0,MW
QC,Coal,2013,0,MW
QC,Natural Gas,2013,591.13,MW
QC,Oil and Diesel,2013,1007.04,MW
QC,Hydro,2014,40034,MW
QC,Wind,2014,2865,MW
QC,Biomass,2014,240,MW
QC,Solar,2014,0.297,MW
QC,Nuclear,2014,0,MW
QC,Coal,2014,0,MW
QC,Natural Gas,2014,591.13,MW
QC,Oil and Diesel,2014,540.12,MW
QC,Hydro,2015,40212,MW
QC,Wind,2015,3262,MW
QC,Biomass,2015,245,MW
QC,Solar,2015,0.297,MW
QC,Nuclear,2015,0,MW
QC,Coal,2015,0,MW
QC,Natural Gas,2015,591.13,MW
QC,Oil and Diesel,2015,589.12,MW
QC,Hydro,2016,40396.95,MW
QC,Wind,2016,3549.32,MW
QC,Biomass,2016,275.44,MW
QC,Solar,2016,0.297,MW
QC,Nuclear,2016,0,MW
QC,Coal,2016,0,MW
QC,Natural Gas,2016,591.13,MW
QC,Oil and Diesel,2016,589.12,MW
NB,Hydro,2005,953.13,MW
NB,Wind,2005,0,MW
NB,Biomass,2005,127.3682,MW
NB,Solar,2005,0,MW
NB,Nuclear,2005,680,MW
NB,Coal,2005,541,MW
NB,Natural Gas,2005,340,MW
NB,Oil and Diesel,2005,1593.04,MW
NB,Hydro,2006,953.13,MW
NB,Wind,2006,0,MW
NB,Biomass,2006,127.3682,MW
NB,Solar,2006,0,MW
NB,Nuclear,2006,680,MW
NB,Coal,2006,541,MW
NB,Natural Gas,2006,340,MW
NB,Oil and Diesel,2006,1593.04,MW
NB,Hydro,2007,953.13,MW
NB,Wind,2007,0,MW
NB,Biomass,2007,127.3682,MW
NB,Solar,2007,0,MW
NB,Nuclear,2007,680,MW
NB,Coal,2007,541,MW
NB,Natural Gas,2007,340,MW
NB,Oil and Diesel,2007,1593.04,MW
NB,Hydro,2008,953.13,MW
NB,Wind,2008,96,MW
NB,Biomass,2008,127.3682,MW
NB,Solar,2008,0,MW
NB,Nuclear,2008,680,MW
NB,Coal,2008,541,MW
NB,Natural Gas,2008,340,MW
NB,Oil and Diesel,2008,1593.04,MW
NB,Hydro,2009,953.13,MW
NB,Wind,2009,195,MW
NB,Biomass,2009,127.3682,MW
NB,Solar,2009,0,MW
NB,Nuclear,2009,680,MW
NB,Coal,2009,541,MW
NB,Natural Gas,2009,350,MW
NB,Oil and Diesel,2009,1593.04,MW
NB,Hydro,2010,953.13,MW
NB,Wind,2010,195,MW
NB,Biomass,2010,127.3682,MW
NB,Solar,2010,0,MW
NB,Nuclear,2010,680,MW
NB,Coal,2010,490,MW
NB,Natural Gas,2010,350,MW
NB,Oil and Diesel,2010,1593.04,MW
NB,Hydro,2011,960.98,MW
NB,Wind,2011,294,MW
NB,Biomass,2011,127.3682,MW
NB,Solar,2011,0,MW
NB,Nuclear,2011,680,MW
NB,Coal,2011,490,MW
NB,Natural Gas,2011,350,MW
NB,Oil and Diesel,2011,1593.04,MW
NB,Hydro,2012,960.98,MW
NB,Wind,2012,294,MW
NB,Biomass,2012,127.3682,MW
NB,Solar,2012,0,MW
NB,Nuclear,2012,680,MW
NB,Coal,2012,490,MW
NB,Natural Gas,2012,350,MW
NB,Oil and Diesel,2012,1593.04,MW
NB,Hydro,2013,960.98,MW
NB,Wind,2013,294,MW
NB,Biomass,2013,127.3682,MW
NB,Solar,2013,0.162,MW
NB,Nuclear,2013,705,MW
NB,Coal,2013,490,MW
NB,Natural Gas,2013,350,MW
NB,Oil and Diesel,2013,1593.04,MW
NB,Hydro,2014,960.98,MW
NB,Wind,2014,294,MW
NB,Biomass,2014,127.3682,MW
NB,Solar,2014,0.162,MW
NB,Nuclear,2014,705,MW
NB,Coal,2014,490,MW
NB,Natural Gas,2014,350,MW
NB,Oil and Diesel,2014,1593.04,MW
NB,Hydro,2015,960.98,MW
NB,Wind,2015,294,MW
NB,Biomass,2015,127.3682,MW
NB,Solar,2015,0.162,MW
NB,Nuclear,2015,705,MW
NB,Coal,2015,490,MW
NB,Natural Gas,2015,350,MW
NB,Oil and Diesel,2015,1593.04,MW
NB,Hydro,2016,960.98,MW
NB,Wind,2016,294,MW
NB,Biomass,2016,127.3,MW
NB,Solar,2016,0.162,MW
NB,Nuclear,2016,705,MW
NB,Coal,2016,490,MW
NB,Natural Gas,2016,350,MW
NB,Oil and Diesel,2016,1593.04,MW
NS,Hydro,2005,401.2,MW
NS,Wind,2005,34.7,MW
NS,Biomass,2005,68.62,MW
NS,Solar,2005,0,MW
NS,Nuclear,2005,0,MW
NS,Coal,2005,1288,MW
NS,Natural Gas,2005,381,MW
NS,Oil and Diesel,2005,222.3,MW
NS,Hydro,2006,401.2,MW
NS,Wind,2006,37.1,MW
NS,Biomass,2006,66.12,MW
NS,Solar,2006,0,MW
NS,Nuclear,2006,0,MW
NS,Coal,2006,1288,MW
